"storyID","mediaType","mediaLocation"
"693","cover","clean/693_cover.jpg"
"693","videoMissing","./uploads/PXL_20220328_085712744.mp4"
"660","cover","clean/660_cover.jpg"
"660","videoMissing","./uploads/20220228_152346.mp4"
"657","cover","clean/657_cover.jpg"
"657","audioMissing","./uploads/02, 15.07​.aac"
"597","cover","clean/597_cover.jpg"
"597","audioMissing","./uploads/Le-marchand-de-glace.mp3"
"483","cover","clean/483_cover.jpg"
"483","audioMissing","./uploads/Histoire-Florent.mp3"
"166","cover","clean/166_cover.jpg"
"614","cover","clean/614_cover.jpg"
"614","videoMissing","./uploads/rosaparks_la_croix_l_evangelie"
"606","cover","clean/606_cover.jpg"
"606","audioMissing","./uploads/La forêt linéraire.mp4"
"609","cover","clean/609_cover.jpg"
"609","audioMissing","./uploads/cecile_vf"
"609","audio","clean/609_audio_2.mp3"
"560","cover","clean/560_cover.jpg"
"560","audioMissing","./uploads/WhatsApp Audio 2021-11-21 at 16.23.00.ogg"
"560","image","clean/560_img_1.jpg"
"560","image","clean/560_img_2.jpg"
"560","image","clean/560_img_3.jpg"
"476","cover","clean/476_cover.jpg"
"476","audioMissing","./uploads/GENESE_1.mp3"
"476","video","clean/476_video_1.mov"
"476","image","clean/476_img_1.jpg"
"478","cover","clean/478_cover.jpg"
"478","audioMissing","./uploads/GENESE_3.mp3"
"478","video","clean/478_video_1.mov"
"478","image","clean/478_img_1.jpg"
"599","cover","clean/599_cover.jpg"
"598","cover","clean/598_cover.jpg"
"598","audioMissing","./uploads/lx24.ogg"
"600","cover","clean/600_cover.jpg"
"578","cover","clean/578_cover.jpg"
"578","audioMissing","./uploads/B3.m4a"
"578","video","clean/578_video_1.mp4"
"596","cover","clean/596_cover.jpg"
"596","audioMissing","./uploads/Les-livres-suspendus"
"596","audio","clean/596_audio_2.mp3"
"583","cover","clean/583_cover.jpg"
"583","audioMissing","./uploads/Le-pont"
"583","audio","clean/583_audio_2.mp3"
"594","cover","clean/594_cover.jpg"
"594","audioMissing","./uploads/Le-chant-et-le-quartier"
"594","audio","clean/594_audio_2.mp3"
"586","cover","clean/586_cover.jpg"
"586","audioMissing","./uploads/Le BM"
"586","audio","clean/586_audio_2.mp3"
"593","cover","clean/593_cover.jpg"
"593","audioMissing","./uploads/La-forme"
"593","audio","clean/593_audio_2.mp3"
"567","cover","clean/567_cover.jpg"
"566","cover","clean/566_cover.jpg"
"566","videoMissing","./uploads/b11 reduced.mp4"
"565","cover","clean/565_cover.jpg"
"565","audioMissing","./uploads/B10.m4a"
"565","video","clean/565_video_1.mp4"
"595","cover","clean/595_cover.jpg"
"569","cover","clean/569_cover.jpg"
"569","audioMissing","./uploads/B7.m4a"
"569","video","clean/569_video_1.mp4"
"574","cover","clean/574_cover.jpg"
"577","cover","clean/577_cover.jpg"
"577","audioMissing","./uploads/B1.m4a"
"577","videoMissing","./uploads/B1reduced.mp4"
"581","cover","clean/581_cover.jpg"
"581","audioMissing","./uploads/B6.m4a"
"581","videoMissing","./uploads/b6-reduced.mp4"
"564","cover","clean/564_cover.jpg"
